Designator,Mid X,Mid Y,Rotation,Layer
U10,47.5,-63.0005,180.0,bottom
U2_4,195.5,-67.5005,180.0,bottom
U2_3,132.5,-67.5005,180.0,bottom
U2_2,6.5,-67.5005,180.0,bottom
U2,69.5,-67.5005,180.0,bottom
U3_4,156.0,-61.5005,315.0,bottom
U3_3,30.0,-61.5005,315.0,bottom
U3_2,219.0,-61.5005,315.0,bottom
U3,93.0,-61.5005,315.0,bottom
U4_4,33.0,-23.5005,270.0,bottom
U4_3,222.0,-23.5005,270.0,bottom
U4_2,159.0,-23.5005,270.0,bottom
U4,96.0,-23.5005,270.0,bottom
U5_4,90.0,-33.5005,90.0,bottom
U5_3,27.0,-33.5005,90.0,bottom
U5_2,216.0,-33.5005,90.0,bottom
U5,153.0,-33.5005,90.0,bottom
U6_4,209.5,-69.0005,225.0,top
U6_3,83.5,-69.0005,225.0,top
U6_2,20.5,-69.0005,225.0,top
U6,146.5,-69.0005,225.0,top
U7_4,222.0,-33.5005,270.0,bottom
U7_3,33.0,-33.5005,270.0,bottom
U7_2,159.0,-33.5005,270.0,bottom
U7,96.0,-33.5005,270.0,bottom
U8_4,6.0,-29.2505,0.0,top
U8_3,195.0,-29.2505,0.0,top
U8_2,132.0,-29.2505,0.0,top
U8,69.0,-29.2505,0.0,top
U9_4,236.5,-80.0005,90.0,bottom
U9_3,173.5,-80.0005,90.0,bottom
U9_2,110.5,-80.0005,90.0,bottom
U9,47.5,-80.0005,90.0,bottom
